672564,210,3/8/2015 11:31,Beale at Market,56,3/8/2015 11:35,Davis at Jackson,42,520,Subscriber,94111
672560,629,3/8/2015 11:30,Japantown,9,3/8/2015 11:41,SJSU 4th at San Carlos,12,160,Subscriber,95112
672559,11379,3/8/2015 11:29,2nd at Folsom,62,3/8/2015 14:39,2nd at Townsend,61,518,Customer,97304
672558,11431,3/8/2015 11:28,2nd at Folsom,62,3/8/2015 14:39,2nd at Townsend,61,609,Customer,97304
672557,542,3/8/2015 11:27,Embarcadero at Bryant,54,3/8/2015 11:36,Embarcadero at Sansome,60,529,Subscriber,94158
672556,521,3/8/2015 11:26,Commercial at Montgomery,45,3/8/2015 11:35,Harry Bridges Plaza (Ferry Building),50,497,Customer,94109
672555,453,3/8/2015 11:26,Commercial at Montgomery,45,3/8/2015 11:33,Harry Bridges Plaza (Ferry Building),50,405,Customer,94109
672554,858,3/8/2015 11:23,Harry Bridges Plaza (Ferry Building),50,3/8/2015 11:38,Embarcadero at Vallejo,48,355,Subscriber,94105
672553,478,3/8/2015 11:19,2nd at Townsend,61,3/8/2015 11:27,Harry Bridges Plaza (Ferry Building),50,342,Subscriber,94107
672552,486,3/8/2015 11:20,Market at 4th,76,3/8/2015 11:28,Embarcadero at Folsom,51,193,Subscriber,95131
672551,572,3/8/2015 11:19,Steuart at Market,74,3/8/2015 11:28,Embarcadero at Sansome,60,475,Subscriber,94103
672550,887,3/8/2015 11:18,Steuart at Market,74,3/8/2015 11:33,5th at Howard,57,541,Customer,972
672549,352,3/8/2015 11:16,San Francisco Caltrain 2 (330 Townsend),69,3/8/2015 11:22,Yerba Buena Center of the Arts (3rd @ Howard),68,265,Subscriber,94107
672548,2174,3/8/2015 11:16,Embarcadero at Bryant,54,3/8/2015 11:52,Embarcadero at Sansome,60,483,Subscriber,94105
672545,2039,3/8/2015 11:11,2nd at Folsom,62,3/8/2015 11:45,Powell Street BART,39,270,Customer,64711
672544,436,3/8/2015 11:10,San Jose City Hall,10,3/8/2015 11:17,Japantown,9,160,Subscriber,95112
672543,727,3/8/2015 11:03,Steuart at Market,74,3/8/2015 11:15,Harry Bridges Plaza (Ferry Building),50,355,Subscriber,94105
672542,562,3/8/2015 11:02,Yerba Buena Center of the Arts (3rd @ Howard),68,3/8/2015 11:11,Embarcadero at Bryant,54,540,Subscriber,94105
672541,384,3/8/2015 11:01,Market at 4th,76,3/8/2015 11:07,Temporary Transbay Terminal (Howard at Beale),55,191,Subscriber,94103
672539,277,3/8/2015 10:58,5th at Howard,57,3/8/2015 11:03,Civic Center BART (7th at Market),72,531,Subscriber,94107
672538,719,3/8/2015 10:57,Embarcadero at Bryant,54,3/8/2015 11:09,Embarcadero at Sansome,60,100,Subscriber,94107
672535,17939,3/8/2015 10:52,San Francisco Caltrain (Townsend at 4th),70,3/8/2015 15:51,San Francisco City Hall,58,209,Customer,
672534,617,3/8/2015 10:52,2nd at Townsend,61,3/8/2015 11:03,Market at 4th,76,556,Subscriber,94107
672533,140,3/8/2015 10:52,Embarcadero at Folsom,51,3/8/2015 10:54,Embarcadero at Bryant,54,69,Subscriber,94105
672530,1064,3/8/2015 10:51,San Antonio Shopping Center,31,3/8/2015 11:08,Mountain View Caltrain Station,28,703,Customer,81601
672529,286,3/8/2015 10:50,Embarcadero at Sansome,60,3/8/2015 10:55,Clay at Battery,41,561,Subscriber,94133
672528,563,3/8/2015 10:50,Powell Street BART,39,3/8/2015 10:59,Temporary Transbay Terminal (Howard at Beale),55,398,Subscriber,94133
672526,18243,3/8/2015 10:47,San Francisco Caltrain (Townsend at 4th),70,3/8/2015 15:51,San Francisco City Hall,58,596,Customer,
672525,423,3/8/2015 10:44,Powell at Post (Union Square),71,3/8/2015 10:51,2nd at Townsend,61,334,Subscriber,94164
672524,654,3/8/2015 10:42,Embarcadero at Bryant,54,3/8/2015 10:53,Market at 4th,76,191,Subscriber,94105
672522,200,3/8/2015 10:40,San Jose City Hall,10,3/8/2015 10:43,Paseo de San Antonio,7,112,Subscriber,95126
672521,375,3/8/2015 10:38,Spear at Folsom,49,3/8/2015 10:44,Yerba Buena Center of the Arts (3rd @ Howard),68,540,Subscriber,94105
672520,571,3/8/2015 10:36,Grant Avenue at Columbus Avenue,73,3/8/2015 10:46,Market at Sansome,77,137,Subscriber,94105
672516,304,3/8/2015 10:34,2nd at South Park,64,3/8/2015 10:39,Yerba Buena Center of the Arts (3rd @ Howard),68,275,Subscriber,94105
