717925,774,4/9/2015 7:51,San Francisco Caltrain (Townsend at 4th),70,4/9/2015 8:04,Harry Bridges Plaza (Ferry Building),50,569,Subscriber,94070
717924,431,4/9/2015 7:51,San Jose Diridon Caltrain Station,2,4/9/2015 7:58,San Pedro Square,6,164,Subscriber,95377
717923,938,4/9/2015 7:50,San Francisco Caltrain (Townsend at 4th),70,4/9/2015 8:06,Embarcadero at Vallejo,48,593,Subscriber,95110
717922,621,4/9/2015 7:51,San Francisco Caltrain (Townsend at 4th),70,4/9/2015 8:01,Embarcadero at Folsom,51,617,Subscriber,94030
717921,239,4/9/2015 7:50,San Francisco Caltrain 2 (330 Townsend),69,4/9/2015 7:54,Townsend at 7th,65,613,Subscriber,95054
717920,288,4/9/2015 7:50,Embarcadero at Sansome,60,4/9/2015 7:54,Clay at Battery,41,382,Subscriber,94133
717919,302,4/9/2015 7:49,San Francisco Caltrain 2 (330 Townsend),69,4/9/2015 7:54,Townsend at 7th,65,368,Subscriber,94103
717918,601,4/9/2015 7:49,San Francisco Caltrain (Townsend at 4th),70,4/9/2015 7:59,Market at 4th,76,523,Subscriber,94043
717917,175,4/9/2015 7:49,San Francisco Caltrain 2 (330 Townsend),69,4/9/2015 7:52,2nd at South Park,64,393,Subscriber,95123
717915,158,4/9/2015 7:49,San Francisco Caltrain 2 (330 Townsend),69,4/9/2015 7:51,2nd at South Park,64,268,Subscriber,95128
717914,995,4/9/2015 7:49,San Francisco City Hall,58,4/9/2015 8:05,Howard at 2nd,63,292,Subscriber,94117
717913,719,4/9/2015 7:49,San Francisco Caltrain (Townsend at 4th),70,4/9/2015 8:01,Clay at Battery,41,417,Subscriber,94065
717912,489,4/9/2015 7:48,Market at 4th,76,4/9/2015 7:57,Beale at Market,56,353,Subscriber,94114
717911,848,4/9/2015 7:48,San Francisco Caltrain (Townsend at 4th),70,4/9/2015 8:02,Embarcadero at Sansome,60,463,Subscriber,94404
717910,803,4/9/2015 7:48,San Francisco Caltrain (Townsend at 4th),70,4/9/2015 8:01,Market at Sansome,77,505,Subscriber,94303
717909,212,4/9/2015 7:48,Civic Center BART (7th at Market),72,4/9/2015 7:51,Market at 4th,76,451,Subscriber,94103
717908,204,4/9/2015 7:48,Townsend at 7th,65,4/9/2015 7:51,San Francisco Caltrain 2 (330 Townsend),69,260,Subscriber,94107
717907,546,4/9/2015 7:47,Ryland Park,84,4/9/2015 7:56,San Jose Diridon Caltrain Station,2,81,Subscriber,95110
717905,319,4/9/2015 7:47,Grant Avenue at Columbus Avenue,73,4/9/2015 7:53,Market at Sansome,77,281,Subscriber,94133
717904,192,4/9/2015 7:47,San Francisco Caltrain 2 (330 Townsend),69,4/9/2015 7:50,Townsend at 7th,65,372,Subscriber,94043
717903,287,4/9/2015 7:47,San Francisco Caltrain 2 (330 Townsend),69,4/9/2015 7:52,5th at Howard,57,594,Subscriber,94403
717902,623,4/9/2015 7:47,San Francisco Caltrain (Townsend at 4th),70,4/9/2015 7:57,Beale at Market,56,524,Subscriber,94303
717900,1411,4/9/2015 7:47,Davis at Jackson,42,4/9/2015 8:10,Davis at Jackson,42,310,Subscriber,94111
717899,354,4/9/2015 7:46,Beale at Market,56,4/9/2015 7:52,2nd at Townsend,61,284,Subscriber,94523
717897,440,4/9/2015 7:44,San Jose Diridon Caltrain Station,2,4/9/2015 7:51,San Pedro Square,6,30,Subscriber,94002
717895,193,4/9/2015 7:40,Townsend at 7th,65,4/9/2015 7:43,San Francisco Caltrain 2 (330 Townsend),69,372,Subscriber,94107
717894,597,4/9/2015 7:42,San Francisco City Hall,58,4/9/2015 7:52,San Francisco Caltrain (Townsend at 4th),70,313,Subscriber,94102
717893,293,4/9/2015 7:42,Mountain View City Hall,27,4/9/2015 7:47,Mountain View Caltrain Station,28,244,Subscriber,94041
717892,704,4/9/2015 7:42,Spear at Folsom,49,4/9/2015 7:53,Townsend at 7th,65,519,Subscriber,94105
717891,220,4/9/2015 7:41,Howard at 2nd,63,4/9/2015 7:45,5th at Howard,57,370,Subscriber,94501
717890,859,4/9/2015 7:40,Japantown,9,4/9/2015 7:54,San Jose Diridon Caltrain Station,2,689,Subscriber,95112
717889,722,4/9/2015 7:39,Market at 10th,67,4/9/2015 7:51,San Francisco Caltrain 2 (330 Townsend),69,622,Subscriber,94102
717888,404,4/9/2015 7:39,Temporary Transbay Terminal (Howard at Beale),55,4/9/2015 7:46,Embarcadero at Vallejo,48,322,Subscriber,94547
717887,393,4/9/2015 7:39,Steuart at Market,74,4/9/2015 7:45,Yerba Buena Center of the Arts (3rd @ Howard),68,158,Subscriber,94105
717886,595,4/9/2015 7:38,Rengstorff Avenue / California Street,33,4/9/2015 7:48,Mountain View Caltrain Station,28,656,Subscriber,94043
717884,327,4/9/2015 7:38,Harry Bridges Plaza (Ferry Building),50,4/9/2015 7:43,Embarcadero at Bryant,54,502,Subscriber,94559
717883,712,4/9/2015 7:37,Davis at Jackson,42,4/9/2015 7:49,San Francisco Caltrain (Townsend at 4th),70,571,Subscriber,94111
717882,739,4/9/2015 7:37,Steuart at Market,74,4/9/2015 7:49,Townsend at 7th,65,570,Subscriber,94501
717881,628,4/9/2015 7:37,Harry Bridges Plaza (Ferry Building),50,4/9/2015 7:47,San Francisco Caltrain (Townsend at 4th),70,593,Subscriber,94591
717880,666,4/9/2015 7:36,MLK Library,11,4/9/2015 7:47,San Jose Diridon Caltrain Station,2,164,Subscriber,95113
717879,1448,4/9/2015 7:36,Harry Bridges Plaza (Ferry Building),50,4/9/2015 8:00,2nd at Townsend,61,597,Subscriber,94960
717878,684,4/9/2015 7:36,MLK Library,11,4/9/2015 7:47,San Jose Diridon Caltrain Station,2,245,Subscriber,95112
