513784,619,10/24/2014 10:59,2nd at South Park,64,10/24/2014 11:09,Embarcadero at Vallejo,48,507,Subscriber,94602
513783,600,10/24/2014 10:57,Washington at Kearny,46,10/24/2014 11:07,Spear at Folsom,49,429,Subscriber,94105
513782,339,10/24/2014 10:56,Mechanics Plaza (Market at Battery),75,10/24/2014 11:02,Washington at Kearny,46,463,Subscriber,94030
513781,13283,10/24/2014 10:56,Powell at Post (Union Square),71,10/24/2014 14:37,Mechanics Plaza (Market at Battery),75,482,Customer,60604
513780,13311,10/24/2014 10:56,Powell at Post (Union Square),71,10/24/2014 14:38,Mechanics Plaza (Market at Battery),75,123,Customer,60604
513779,418,10/24/2014 10:56,Steuart at Market,74,10/24/2014 11:03,2nd at Townsend,61,363,Subscriber,94544
513777,559,10/24/2014 10:53,San Francisco Caltrain 2 (330 Townsend),69,10/24/2014 11:02,Market at 10th,67,634,Subscriber,94041
513776,976,10/24/2014 10:53,San Francisco Caltrain (Townsend at 4th),70,10/24/2014 11:09,Embarcadero at Vallejo,48,631,Subscriber,94404
513775,340,10/24/2014 10:53,Howard at 2nd,63,10/24/2014 10:58,Embarcadero at Folsom,51,490,Subscriber,94105
513774,279,10/24/2014 10:52,Broadway St at Battery St,82,10/24/2014 10:56,Steuart at Market,74,16,Subscriber,94117
513772,429,10/24/2014 10:51,Yerba Buena Center of the Arts (3rd @ Howard),68,10/24/2014 10:58,San Francisco Caltrain (Townsend at 4th),70,509,Subscriber,94107
513770,470,10/24/2014 10:49,San Francisco Caltrain (Townsend at 4th),70,10/24/2014 10:57,Howard at 2nd,63,549,Subscriber,94062
513769,527,10/24/2014 10:49,Powell at Post (Union Square),71,10/24/2014 10:57,2nd at Townsend,61,642,Subscriber,94010
513768,741,10/24/2014 10:48,Spear at Folsom,49,10/24/2014 11:00,Grant Avenue at Columbus Avenue,73,265,Subscriber,94306
513767,394,10/24/2014 10:47,Market at Sansome,77,10/24/2014 10:54,2nd at Townsend,61,291,Subscriber,94551
