502825,1511,10/16/2014 21:51,Embarcadero at Sansome,60,10/16/2014 22:16,5th at Howard,57,577,Customer,94087
502824,387,10/16/2014 21:51,Market at 4th,76,10/16/2014 21:57,2nd at South Park,64,425,Subscriber,94107
502823,1775,10/16/2014 21:46,Embarcadero at Sansome,60,10/16/2014 22:16,5th at Howard,57,483,Subscriber,94086
502822,235,10/16/2014 21:45,2nd at South Park,64,10/16/2014 21:49,San Francisco Caltrain 2 (330 Townsend),69,600,Subscriber,94107
502821,441,10/16/2014 21:37,San Francisco Caltrain 2 (330 Townsend),69,10/16/2014 21:44,Powell Street BART,39,409,Subscriber,94107
502820,494,10/16/2014 21:37,2nd at Townsend,61,10/16/2014 21:45,Yerba Buena Center of the Arts (3rd @ Howard),68,415,Subscriber,94112
502818,358,10/16/2014 21:34,Clay at Battery,41,10/16/2014 21:40,Embarcadero at Vallejo,48,289,Subscriber,94925
502817,300,10/16/2014 21:30,Powell Street BART,39,10/16/2014 21:35,Market at 10th,67,603,Subscriber,94102
502816,336,10/16/2014 21:30,Broadway St at Battery St,82,10/16/2014 21:35,Embarcadero at Bryant,54,439,Subscriber,94107
502815,282,10/16/2014 21:28,Townsend at 7th,65,10/16/2014 21:32,San Francisco Caltrain (Townsend at 4th),70,558,Subscriber,94158
502814,307,10/16/2014 21:28,Broadway St at Battery St,82,10/16/2014 21:33,Temporary Transbay Terminal (Howard at Beale),55,604,Subscriber,94608
502812,654,10/16/2014 21:26,Market at 10th,67,10/16/2014 21:37,San Francisco Caltrain (Townsend at 4th),70,467,Subscriber,94107
502811,823,10/16/2014 21:26,Spear at Folsom,49,10/16/2014 21:40,Townsend at 7th,65,526,Subscriber,94107
502810,841,10/16/2014 21:25,Townsend at 7th,65,10/16/2014 21:39,Harry Bridges Plaza (Ferry Building),50,545,Subscriber,94107
502804,657,10/16/2014 21:22,Steuart at Market,74,10/16/2014 21:33,San Francisco Caltrain 2 (330 Townsend),69,510,Subscriber,94040
502803,530,10/16/2014 21:22,Market at Sansome,77,10/16/2014 21:31,2nd at South Park,64,461,Subscriber,94107
502802,433,10/16/2014 21:16,Powell Street BART,39,10/16/2014 21:23,Market at 10th,67,677,Subscriber,94102
502801,409,10/16/2014 21:16,Powell Street BART,39,10/16/2014 21:23,Market at 10th,67,391,Subscriber,94102
