604377,602,1/14/2015 17:42,Davis at Jackson,42,1/14/2015 17:52,Powell at Post (Union Square),71,607,Subscriber,94109
604376,746,1/14/2015 17:42,Santa Clara County Civic Center,80,1/14/2015 17:54,San Pedro Square,6,666,Subscriber,95110
604375,597,1/14/2015 17:42,Embarcadero at Vallejo,48,1/14/2015 17:52,Embarcadero at Bryant,54,504,Subscriber,94111
604374,992,1/14/2015 17:42,Market at Sansome,77,1/14/2015 17:58,Townsend at 7th,65,275,Subscriber,94107
604373,416,1/14/2015 17:42,2nd at Townsend,61,1/14/2015 17:49,Harry Bridges Plaza (Ferry Building),50,465,Subscriber,94534
604370,369,1/14/2015 17:41,5th at Howard,57,1/14/2015 17:47,Temporary Transbay Terminal (Howard at Beale),55,498,Subscriber,94611
604369,909,1/14/2015 17:41,Steuart at Market,74,1/14/2015 17:56,Civic Center BART (7th at Market),72,326,Subscriber,94114
604368,937,1/14/2015 17:41,Steuart at Market,74,1/14/2015 17:56,Civic Center BART (7th at Market),72,338,Subscriber,94941
604366,373,1/14/2015 17:40,Townsend at 7th,65,1/14/2015 17:47,Civic Center BART (7th at Market),72,472,Subscriber,94518
604365,932,1/14/2015 17:40,Townsend at 7th,65,1/14/2015 17:56,Temporary Transbay Terminal (Howard at Beale),55,409,Subscriber,94602
604363,634,1/14/2015 17:40,Broadway St at Battery St,82,1/14/2015 17:51,Embarcadero at Bryant,54,85,Subscriber,94105
604361,344,1/14/2015 17:39,2nd at Folsom,62,1/14/2015 17:45,Harry Bridges Plaza (Ferry Building),50,582,Subscriber,94901
604360,300,1/14/2015 17:39,2nd at South Park,64,1/14/2015 17:44,Temporary Transbay Terminal (Howard at Beale),55,510,Subscriber,94602
604359,473,1/14/2015 17:39,Embarcadero at Vallejo,48,1/14/2015 17:47,Temporary Transbay Terminal (Howard at Beale),55,384,Subscriber,94611
604358,453,1/14/2015 17:39,Temporary Transbay Terminal (Howard at Beale),55,1/14/2015 17:47,San Francisco Caltrain (Townsend at 4th),70,368,Subscriber,94062
