826875,457,6/29/2015 16:17,Howard at 2nd,63,6/29/2015 16:25,San Francisco Caltrain 2 (330 Townsend),69,510,Subscriber,95129
826872,597,6/29/2015 16:16,Powell at Post (Union Square),71,6/29/2015 16:26,San Francisco Caltrain 2 (330 Townsend),69,877,Subscriber,95124
826871,659,6/29/2015 16:16,Post at Kearny,47,6/29/2015 16:27,Davis at Jackson,42,620,Subscriber,94111
826868,433,6/29/2015 16:15,Howard at 2nd,63,6/29/2015 16:22,San Francisco Caltrain 2 (330 Townsend),69,526,Subscriber,94404
826867,540,6/29/2015 16:15,Embarcadero at Folsom,51,6/29/2015 16:24,San Francisco Caltrain 2 (330 Townsend),69,356,Subscriber,94087
826864,609,6/29/2015 16:14,Temporary Transbay Terminal (Howard at Beale),55,6/29/2015 16:24,San Francisco Caltrain (Townsend at 4th),70,503,Subscriber,95008
826863,718,6/29/2015 16:14,Beale at Market,56,6/29/2015 16:26,San Francisco Caltrain 2 (330 Townsend),69,687,Subscriber,95050
826856,474,6/29/2015 16:12,Temporary Transbay Terminal (Howard at Beale),55,6/29/2015 16:20,San Francisco Caltrain 2 (330 Townsend),69,287,Subscriber,94010
826852,387,6/29/2015 16:11,Howard at 2nd,63,6/29/2015 16:18,Harry Bridges Plaza (Ferry Building),50,407,Subscriber,94558
826850,708,6/29/2015 16:10,Post at Kearny,47,6/29/2015 16:22,San Francisco Caltrain (Townsend at 4th),70,348,Subscriber,94401
826849,472,6/29/2015 16:10,2nd at Townsend,61,6/29/2015 16:18,Harry Bridges Plaza (Ferry Building),50,487,Subscriber,94904
826848,879,6/29/2015 16:09,Davis at Jackson,42,6/29/2015 16:24,San Francisco Caltrain 2 (330 Townsend),69,403,Subscriber,94087
826847,895,6/29/2015 16:09,Market at Sansome,77,6/29/2015 16:23,South Van Ness at Market,66,557,Subscriber,94105
826846,184,6/29/2015 16:08,Clay at Battery,41,6/29/2015 16:11,Mechanics Plaza (Market at Battery),75,520,Subscriber,94105
826845,1091,6/29/2015 16:08,Grant Avenue at Columbus Avenue,73,6/29/2015 16:26,Civic Center BART (7th at Market),72,342,Subscriber,94133
826844,942,6/29/2015 16:07,Davis at Jackson,42,6/29/2015 16:23,San Francisco Caltrain (Townsend at 4th),70,411,Subscriber,94040
826843,334,6/29/2015 16:07,Embarcadero at Vallejo,48,6/29/2015 16:13,Commercial at Montgomery,45,291,Subscriber,94107
826842,710,6/29/2015 16:07,Broadway St at Battery St,82,6/29/2015 16:19,2nd at Townsend,61,541,Subscriber,95054
826841,471,6/29/2015 16:06,5th at Howard,57,6/29/2015 16:14,Temporary Transbay Terminal (Howard at Beale),55,503,Subscriber,94501
826836,2938,6/29/2015 16:05,Mountain View Caltrain Station,28,6/29/2015 16:54,Evelyn Park and Ride,30,72,Customer,15217
826833,182,6/29/2015 16:05,Townsend at 7th,65,6/29/2015 16:08,San Francisco Caltrain 2 (330 Townsend),69,359,Subscriber,94103
826832,644,6/29/2015 16:05,Powell at Post (Union Square),71,6/29/2015 16:15,San Francisco Caltrain 2 (330 Townsend),69,397,Subscriber,94070
826831,845,6/29/2015 16:04,Embarcadero at Folsom,51,6/29/2015 16:18,San Francisco Caltrain (Townsend at 4th),70,544,Subscriber,95148
826830,437,6/29/2015 16:04,Market at 4th,76,6/29/2015 16:12,Temporary Transbay Terminal (Howard at Beale),55,677,Subscriber,94501
826827,487,6/29/2015 16:04,Embarcadero at Bryant,54,6/29/2015 16:12,San Francisco Caltrain (Townsend at 4th),70,325,Subscriber,95008
826826,683,6/29/2015 16:03,Harry Bridges Plaza (Ferry Building),50,6/29/2015 16:15,San Francisco Caltrain (Townsend at 4th),70,395,Subscriber,94002
826823,2897,6/29/2015 16:03,Yerba Buena Center of the Arts (3rd @ Howard),68,6/29/2015 16:51,Embarcadero at Sansome,60,358,Customer,70117
826822,631,6/29/2015 16:02,Beale at Market,56,6/29/2015 16:13,Embarcadero at Vallejo,48,334,Subscriber,94111
826821,75,6/29/2015 16:02,Mountain View Caltrain Station,28,6/29/2015 16:04,Mountain View Caltrain Station,28,93,Customer,15217
826820,283,6/29/2015 16:02,Howard at 2nd,63,6/29/2015 16:07,Steuart at Market,74,519,Subscriber,94061
826819,226,6/29/2015 15:58,Market at Sansome,77,6/29/2015 16:02,Market at 4th,76,327,Subscriber,94109
826818,1420,6/29/2015 15:58,Grant Avenue at Columbus Avenue,73,6/29/2015 16:22,2nd at Townsend,61,556,Customer,41
826817,434,6/29/2015 15:58,Clay at Battery,41,6/29/2015 16:05,Temporary Transbay Terminal (Howard at Beale),55,287,Subscriber,94501
826816,1445,6/29/2015 15:58,Grant Avenue at Columbus Avenue,73,6/29/2015 16:22,2nd at Townsend,61,335,Customer,41
826815,370,6/29/2015 15:57,Market at 10th,67,6/29/2015 16:04,Townsend at 7th,65,387,Subscriber,94102
826814,1466,6/29/2015 15:57,Grant Avenue at Columbus Avenue,73,6/29/2015 16:22,2nd at Townsend,61,406,Customer,41
826813,1482,6/29/2015 15:57,Grant Avenue at Columbus Avenue,73,6/29/2015 16:22,2nd at Townsend,61,417,Customer,41
826812,549,6/29/2015 15:56,Mountain View Caltrain Station,28,6/29/2015 16:05,Mountain View City Hall,27,675,Customer,94041
826811,216,6/29/2015 15:55,Embarcadero at Bryant,54,6/29/2015 15:59,Embarcadero at Folsom,51,322,Subscriber,94105
826810,408,6/29/2015 15:55,Market at 10th,67,6/29/2015 16:02,Market at 4th,76,282,Subscriber,94103
826809,288,6/29/2015 15:54,Mechanics Plaza (Market at Battery),75,6/29/2015 15:59,Davis at Jackson,42,16,Subscriber,94960
826808,293,6/29/2015 15:54,Howard at 2nd,63,6/29/2015 15:59,5th at Howard,57,191,Subscriber,94618
826807,320,6/29/2015 15:54,Castro Street and El Camino Real,32,6/29/2015 15:59,Mountain View Caltrain Station,28,51,Subscriber,94118
826804,919,6/29/2015 15:52,Beale at Market,56,6/29/2015 16:07,San Francisco Caltrain (Townsend at 4th),70,351,Subscriber,94089
826803,938,6/29/2015 15:51,Beale at Market,56,6/29/2015 16:07,San Francisco Caltrain (Townsend at 4th),70,609,Subscriber,94085
826801,706,6/29/2015 15:43,South Van Ness at Market,66,6/29/2015 15:55,5th at Howard,57,563,Subscriber,94110
826798,827,6/29/2015 15:39,Temporary Transbay Terminal (Howard at Beale),55,6/29/2015 15:52,San Francisco Caltrain (Townsend at 4th),70,441,Subscriber,94002
826797,438,6/29/2015 15:38,Market at 10th,67,6/29/2015 15:46,Market at 4th,76,677,Subscriber,94103
826796,460,6/29/2015 15:38,Market at 10th,67,6/29/2015 15:46,Market at 4th,76,434,Customer,94103
826795,835,6/29/2015 15:38,Mechanics Plaza (Market at Battery),75,6/29/2015 15:52,San Francisco Caltrain 2 (330 Townsend),69,306,Subscriber,94040
826794,273,6/29/2015 15:38,2nd at Folsom,62,6/29/2015 15:42,Post at Kearny,47,348,Subscriber,94107
826793,755,6/29/2015 15:37,Temporary Transbay Terminal (Howard at Beale),55,6/29/2015 15:50,San Francisco Caltrain (Townsend at 4th),70,517,Subscriber,94030
826792,727,6/29/2015 15:37,Harry Bridges Plaza (Ferry Building),50,6/29/2015 15:49,Powell Street BART,39,576,Customer,nil
826791,732,6/29/2015 15:37,Harry Bridges Plaza (Ferry Building),50,6/29/2015 15:49,Powell Street BART,39,209,Customer,nil
826790,438,6/29/2015 15:36,Beale at Market,56,6/29/2015 15:44,Broadway St at Battery St,82,398,Subscriber,94107
826789,324,6/29/2015 15:36,Commercial at Montgomery,45,6/29/2015 15:42,Beale at Market,56,471,Subscriber,94103
826788,701,6/29/2015 15:35,Embarcadero at Vallejo,48,6/29/2015 15:47,2nd at Townsend,61,487,Subscriber,94107
826787,831,6/29/2015 15:35,Clay at Battery,41,6/29/2015 15:49,San Francisco Caltrain (Townsend at 4th),70,568,Subscriber,94089
826786,332,6/29/2015 15:34,Mechanics Plaza (Market at Battery),75,6/29/2015 15:40,Commercial at Montgomery,45,506,Subscriber,94127
826785,480,6/29/2015 15:33,South Van Ness at Market,66,6/29/2015 15:41,5th at Howard,57,376,Subscriber,94702
826784,1146,6/29/2015 15:32,Embarcadero at Sansome,60,6/29/2015 15:51,San Francisco Caltrain (Townsend at 4th),70,355,Customer,nil
826783,1124,6/29/2015 15:30,Embarcadero at Vallejo,48,6/29/2015 15:49,Powell Street BART,39,332,Customer,nil
826782,1147,6/29/2015 15:30,Embarcadero at Vallejo,48,6/29/2015 15:49,Powell Street BART,39,386,Customer,nil
826781,503,6/29/2015 15:29,Evelyn Park and Ride,30,6/29/2015 15:37,Mountain View Caltrain Station,28,255,Customer,15217
826780,617,6/29/2015 15:26,San Jose City Hall,10,6/29/2015 15:36,San Salvador at 1st,8,208,Customer,78209
826779,432,6/29/2015 15:26,Davis at Jackson,42,6/29/2015 15:33,Embarcadero at Sansome,60,309,Subscriber,94111
826778,474,6/29/2015 15:23,Spear at Folsom,49,6/29/2015 15:31,Clay at Battery,41,331,Subscriber,94105
826777,604,6/29/2015 15:21,Embarcadero at Bryant,54,6/29/2015 15:31,Embarcadero at Sansome,60,429,Subscriber,94105
826776,645,6/29/2015 15:20,Temporary Transbay Terminal (Howard at Beale),55,6/29/2015 15:31,San Francisco Caltrain 2 (330 Townsend),69,621,Subscriber,94025
826775,356,6/29/2015 15:18,Broadway St at Battery St,82,6/29/2015 15:24,Mechanics Plaza (Market at Battery),75,463,Subscriber,94110
826774,293,6/29/2015 15:15,Washington at Kearny,46,6/29/2015 15:20,Howard at 2nd,63,191,Subscriber,94108
826773,518,6/29/2015 15:16,Beale at Market,56,6/29/2015 15:24,2nd at Townsend,61,613,Subscriber,94107
826771,1064,6/29/2015 15:07,Adobe on Almaden,5,6/29/2015 15:25,San Jose City Hall,10,54,Customer,78209
826770,4172,6/29/2015 15:07,Powell at Post (Union Square),71,6/29/2015 16:17,Powell at Post (Union Square),71,535,Customer,91405
826769,457,6/29/2015 15:07,2nd at Townsend,61,6/29/2015 15:15,Harry Bridges Plaza (Ferry Building),50,209,Subscriber,94945
